timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601962540721,2706,home- Kaushalya,200,OK,My Thread Group 1-6,text,true,,32157,123,10,10,https://www.kaushalya.tech/,2495,0,2196
1601962540720,2714,home- Kaushalya,200,OK,My Thread Group 1-8,text,true,,32157,123,10,10,https://www.kaushalya.tech/,2486,0,2202
1601962540720,2721,home- Kaushalya,200,OK,My Thread Group 1-2,text,true,,32157,123,10,10,https://www.kaushalya.tech/,2485,0,2203
1601962540726,2729,home- Kaushalya,200,OK,My Thread Group 1-4,text,true,,32157,123,10,10,https://www.kaushalya.tech/,2489,0,2202
1601962540721,2742,home- Kaushalya,200,OK,My Thread Group 1-10,text,true,,32157,123,10,10,https://www.kaushalya.tech/,2490,0,2209
1601962540721,2746,home- Kaushalya,200,OK,My Thread Group 1-3,text,true,,32157,123,10,10,https://www.kaushalya.tech/,2490,0,2211
1601962540721,2758,home- Kaushalya,200,OK,My Thread Group 1-9,text,true,,32157,123,10,10,https://www.kaushalya.tech/,2498,0,2215
1601962540722,2764,home- Kaushalya,200,OK,My Thread Group 1-5,text,true,,32157,123,10,10,https://www.kaushalya.tech/,2499,0,2224
1601962540721,2773,home- Kaushalya,200,OK,My Thread Group 1-7,text,true,,32157,123,10,10,https://www.kaushalya.tech/,2503,0,2225
1601962540721,2790,home- Kaushalya,200,OK,My Thread Group 1-1,text,true,,32157,123,10,10,https://www.kaushalya.tech/,2508,0,2225
1601962543429,258,Aboutus,200,OK,My Thread Group 1-6,text,true,,15673,135,10,10,https://www.kaushalya.tech/aboutUs.html,258,0,0
1601962543436,259,Aboutus,200,OK,My Thread Group 1-8,text,true,,15673,135,10,10,https://www.kaushalya.tech/aboutUs.html,258,0,0
1601962543441,261,Aboutus,200,OK,My Thread Group 1-2,text,true,,15673,135,10,10,https://www.kaushalya.tech/aboutUs.html,261,0,0
1601962543456,264,Aboutus,200,OK,My Thread Group 1-4,text,true,,15673,135,10,10,https://www.kaushalya.tech/aboutUs.html,264,0,0
1601962543464,264,Aboutus,200,OK,My Thread Group 1-10,text,true,,15673,135,10,10,https://www.kaushalya.tech/aboutUs.html,264,0,0
1601962543468,269,Aboutus,200,OK,My Thread Group 1-3,text,true,,15673,135,10,10,https://www.kaushalya.tech/aboutUs.html,269,0,0
1601962543487,273,Aboutus,200,OK,My Thread Group 1-5,text,true,,15673,135,10,10,https://www.kaushalya.tech/aboutUs.html,273,0,0
1601962543479,284,Aboutus,200,OK,My Thread Group 1-9,text,true,,15673,135,10,10,https://www.kaushalya.tech/aboutUs.html,284,0,0
1601962543494,276,Aboutus,200,OK,My Thread Group 1-7,text,true,,15673,135,10,10,https://www.kaushalya.tech/aboutUs.html,276,0,0
1601962543511,287,Aboutus,200,OK,My Thread Group 1-1,text,true,,15673,135,10,10,https://www.kaushalya.tech/aboutUs.html,287,0,0
1601962543689,260,All Courses,200,OK,My Thread Group 1-6,text,true,,17954,137,10,10,https://www.kaushalya.tech/allCourse.html,258,0,0
1601962543696,261,All Courses,200,OK,My Thread Group 1-8,text,true,,17954,137,10,10,https://www.kaushalya.tech/allCourse.html,260,0,0
1601962543703,259,All Courses,200,OK,My Thread Group 1-2,text,true,,17954,137,8,8,https://www.kaushalya.tech/allCourse.html,258,0,0
1601962543720,271,All Courses,200,OK,My Thread Group 1-4,text,true,,17954,137,7,7,https://www.kaushalya.tech/allCourse.html,271,0,0
1601962543729,278,All Courses,200,OK,My Thread Group 1-10,text,true,,17954,137,6,6,https://www.kaushalya.tech/allCourse.html,277,0,0
1601962543738,281,All Courses,200,OK,My Thread Group 1-3,text,true,,17954,137,5,5,https://www.kaushalya.tech/allCourse.html,280,0,0
1601962543761,277,All Courses,200,OK,My Thread Group 1-5,text,true,,17954,137,4,4,https://www.kaushalya.tech/allCourse.html,277,0,0
1601962543767,291,All Courses,200,OK,My Thread Group 1-9,text,true,,17954,137,3,3,https://www.kaushalya.tech/allCourse.html,291,0,0
1601962543772,288,All Courses,200,OK,My Thread Group 1-7,text,true,,17954,137,2,2,https://www.kaushalya.tech/allCourse.html,288,0,0
1601962543799,283,All Courses,200,OK,My Thread Group 1-1,text,true,,17954,137,1,1,https://www.kaushalya.tech/allCourse.html,282,0,0
